"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","China-Australia Migratory Bird Agreement (CAMBA)","Bonn Convention Migratory Taxa","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Passer (Passer) domesticus|https://biodiversity.org.au/afd/taxa/33702f89-60b2-4098-9cb0-20180783514d|House Sparrow|Animalia|Passeridae","Passer (Passer) domesticus","(Linnaeus, 1758)","species","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","House Sparrow","47","","","","","","","","","","","","","","",""
"Podargus strigoides|https://biodiversity.org.au/afd/taxa/8bec5cc6-ac31-4d23-9df3-856034968af9|Tawny Frogmouth|Animalia|Podargidae","Podargus strigoides","(Latham, 1801)","species","Animalia","Chordata","Aves","Caprimulgiformes","Podargidae","Podargus","Tawny Frogmouth","47","","","","","","","","","","","","","","",""
"Ardea alba|https://biodiversity.org.au/afd/taxa/143cc9f0-bc3c-45b7-8e1c-21fbe9319bba|Great Egret|Animalia|Ardeidae","Ardea alba","Linnaeus, 1758","species","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Ardea","Great Egret","44","","","","","","","","","","","","","","",""
"Petrochelidon (Hylochelidon) nigricans|https://biodiversity.org.au/afd/taxa/7d38efed-12ce-4aa3-b51a-67f89b109ded|Tree Martin|Animalia|Hirundinidae","Petrochelidon (Hylochelidon) nigricans","(Vieillot, 1817)","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Tree Martin","44","","","","","","","","","","","","","","",""
"Petroica (Erythrodryas) rosea|https://biodiversity.org.au/afd/taxa/2669ec7c-a97d-4e36-8ae3-b50ad67628d1|Rose Robin|Animalia|Petroicidae","Petroica (Erythrodryas) rosea","Gould, 1840","species","Animalia","Chordata","Aves","Passeriformes","Petroicidae","Petroica","Rose Robin","44","","","","","","","","","","","","","","",""
"Accipiter (Leucospiza) novaehollandiae|https://biodiversity.org.au/afd/taxa/39c42e71-6196-48d9-abef-80262296ef8f|Grey Goshawk|Animalia|Accipitridae","Accipiter (Leucospiza) novaehollandiae","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Grey Goshawk","43","","Endangered","","","Endangered","","","Endangered","","","","","","",""
"Gallinula (Gallinula) tenebrosa|https://biodiversity.org.au/afd/taxa/b5e44fea-a0a2-412b-a1f7-476b3c1e8e03|Dusky Moorhen|Animalia|Rallidae","Gallinula (Gallinula) tenebrosa","Gould, 1846","species","Animalia","Chordata","Aves","Gruiformes","Rallidae","Gallinula","Dusky Moorhen","43","","","","","","","","","","","","","","",""
"Ardea alba modesta|https://biodiversity.org.au/afd/taxa/51e70463-b658-413e-9c25-ca074d95407f|Great Egret|Animalia|Ardeidae","Ardea alba modesta","Gray, 1831","subspecies","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Ardea","Great Egret","42","","","","","","","","","","","","","","",""
"Falco (Falco) longipennis|https://biodiversity.org.au/afd/taxa/70a29d57-3aea-43e3-b675-98c01960979d|Australian Hobby|Animalia|Falconidae","Falco (Falco) longipennis","Swainson, 1838","species","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Australian Hobby","42","","","","","","","","","","","","","","",""
"Thinornis cucullatus cucullatus|https://biodiversity.org.au/afd/taxa/a1591e76-2f0e-4107-a24d-9263f58b03eb|Eastern Hooded Dotteral|Animalia|Charadriidae","Thinornis cucullatus cucullatus","Vieillot, 1818","subspecies","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Thinornis","Eastern Hooded Dotteral","41","","","","","Vulnerable","","","","","","","","","",""
"Stagonopleura (Zonaeginthus) bella|https://biodiversity.org.au/afd/taxa/b0bd393e-3ba7-41ef-8fcc-93bd1e24c150|Beautiful Firetail|Animalia|Estrildidae","Stagonopleura (Zonaeginthus) bella","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Stagonopleura","Beautiful Firetail","39","","Rare","","","","","","","","","","","","",""
"Thalassarche melanophris|https://biodiversity.org.au/afd/taxa/f2daa035-4db2-4685-bec1-6b89c3274404|Black-browed Albatross|Animalia|Diomedeidae","Thalassarche melanophris","(Temminck, 1828)","species","Animalia","Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Black-browed Albatross","39","","","","Listed","","","","Endangered","","Vulnerable","","Vulnerable","Endangered","",""
"Chalcites lucidus|https://biodiversity.org.au/afd/taxa/99e4518d-7877-46c8-a809-7e4e4d5bad81|Shining Bronze-cuckoo|Animalia|Cuculidae","Chalcites lucidus","(Gmelin, 1788)","species","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Chalcites","Shining Bronze-cuckoo","37","","","","","","","","","","","","","","",""
"Tyto novaehollandiae|https://biodiversity.org.au/afd/taxa/f1c0ca04-8d30-40f4-ab25-103c74f430d2|Masked Owl|Animalia|Tytonidae","Tyto novaehollandiae","(Stephens, 1826)","species","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Masked Owl","35","","","","","Critically Endangered","","","","","","Vulnerable","Vulnerable","","",""
"Myiagra (Myiagra) cyanoleuca|https://biodiversity.org.au/afd/taxa/d30c591e-199f-4cdc-9ed1-2ca0009bc5bc|Satin Flycatcher|Animalia|Monarchidae","Myiagra (Myiagra) cyanoleuca","(Vieillot, 1818)","species","Animalia","Chordata","Aves","Passeriformes","Monarchidae","Myiagra","Satin Flycatcher","33","","Endangered","","Listed","","","","","","","","","","",""
"Numenius (Numenius) madagascariensis|https://biodiversity.org.au/afd/taxa/5ff29bca-f02f-468f-9f96-9ae956015e01|Eastern Curlew|Animalia|Scolopacidae","Numenius (Numenius) madagascariensis","(Linnaeus, 1766)","species","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Eastern Curlew","33","Listed","Endangered","Listed","Listed","Critically Endangered","Listed","","Endangered","Critically Endangered","Critically Endangered","Critically Endangered","Critically Endangered","Critically Endangered","",""
"Falcunculus frontatus|https://biodiversity.org.au/afd/taxa/88ab4486-1ae6-4179-b62e-163fc33fd95f|Crested Shrike-tit|Animalia|Falcunculidae","Falcunculus frontatus","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Falcunculidae","Falcunculus","Crested Shrike-tit","32","","","","","","","","","","","","","","",""
"Phylidonyris (Phylidonyris) pyrrhopterus|https://biodiversity.org.au/afd/taxa/61f2bc62-dd50-4ba2-82a0-0377d386e4d8|Crescent Honeyeater|Animalia|Meliphagidae","Phylidonyris (Phylidonyris) pyrrhopterus","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Phylidonyris","Crescent Honeyeater","32","","","","","","","","","","","","","","",""
"Macropygia (Macropygia) phasianella|https://biodiversity.org.au/afd/taxa/9a35139c-f8d3-4eb1-935e-ef0844ceeeea|Brown Cuckoo-dove|Animalia|Columbidae","Macropygia (Macropygia) phasianella","(Temminck, 1821)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Macropygia","Brown Cuckoo-dove","31","","","","","","","","","","","","","","",""
"Manorina (Myzantha) melanocephala|https://biodiversity.org.au/afd/taxa/ee7498bf-c57c-4463-b313-710d4959cc95|Noisy Miner|Animalia|Meliphagidae","Manorina (Myzantha) melanocephala","(Latham, 1801)","species","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Manorina","Noisy Miner","31","","","","","","","","","","","","","","",""
